transaction_id,customer_id,date,category,amount,merchant,city,payment_method
1,1081,2024-05-20,Dining,504.89,KFC,San Fernando,Credit Card
2,1086,2024-01-17,Dining,79.0,Mario's,San Fernando,Debit Card
3,1064,2024-04-11,Groceries,1437.72,Xtra Foods,Tobago,Mobile Payment
4,1028,2024-05-22,Fuel,1622.67,Sol Gas,Port of Spain,Debit Card
5,1089,2024-05-22,Health,327.85,HealthNet,Chaguanas,Credit Card
6,1011,2024-07-02,Health,1698.04,St. Clair Medical,Point Fortin,Bank Transfer
7,1005,2024-03-04,Fuel,1946.77,Sol Gas,Arima,Credit Card
8,1070,2024-11-12,Travel,1773.19,Hyatt,Chaguanas,Debit Card
9,1090,2024-12-04,Dining,471.24,KFC,Chaguanas,Credit Card
10,1029,2024-05-22,Dining,917.75,Mario's,Chaguanas,Debit Card
11,1047,2024-12-09,Shopping,548.62,Excellent Stores,Tobago,Credit Card
12,1077,2024-05-05,Entertainment,343.54,TriniCinema,Arima,Bank Transfer
13,1081,2024-06-15,Utilities,1688.85,Flow,Port of Spain,Debit Card
14,1004,2024-05-17,Shopping,151.05,Courts,Point Fortin,Bank Transfer
15,1027,2024-11-25,Fuel,928.53,Unipet,Chaguanas,Debit Card
16,1031,2024-10-26,Travel,868.3,Hyatt,Point Fortin,Mobile Payment
17,1046,2024-09-17,Utilities,997.16,T&TEC,Port of Spain,Credit Card
18,1019,2024-08-04,Entertainment,1200.89,TriniCinema,Arima,Mobile Payment
19,1076,2024-05-08,Fuel,1942.74,Sol Gas,Port of Spain,Credit Card
20,1087,2024-06-23,Travel,240.87,Hyatt,Arima,Debit Card
21,1058,2024-05-14,Groceries,1944.34,Xtra Foods,San Fernando,Credit Card
22,1080,2024-09-16,Travel,1225.76,Hyatt,San Fernando,Bank Transfer
23,1097,2024-09-28,Entertainment,1838.62,TriniCinema,Point Fortin,Bank Transfer
24,1062,2024-07-04,Groceries,1759.87,Massy Stores,Chaguanas,Debit Card
25,1007,2024-02-10,Utilities,189.59,Flow,Arima,Credit Card
26,1097,2024-12-03,Entertainment,961.06,MovieTowne,Point Fortin,Debit Card
27,1033,2024-10-03,Health,1515.43,St. Clair Medical,Tobago,Debit Card
28,1091,2024-12-09,Travel,1306.76,Uber,Arima,Mobile Payment
29,1015,2024-02-02,Utilities,689.41,T&TEC,Point Fortin,Debit Card
30,1075,2024-02-06,Utilities,1421.53,T&TEC,Port of Spain,Debit Card
31,1008,2024-02-06,Groceries,1038.03,Tru Valu,Chaguanas,Mobile Payment
32,1027,2024-10-19,Entertainment,1160.9,TriniCinema,San Fernando,Mobile Payment
33,1052,2024-02-19,Utilities,1324.79,T&TEC,Chaguanas,Mobile Payment
34,1052,2024-01-28,Fuel,1353.26,Sol Gas,Tobago,Credit Card
35,1007,2024-06-22,Health,1605.17,Trincity Medical,Port of Spain,Debit Card
36,1024,2024-08-17,Utilities,297.56,Flow,San Fernando,Bank Transfer
37,1059,2024-08-14,Utilities,1619.88,T&TEC,Point Fortin,Credit Card
38,1006,2024-05-01,Groceries,349.3,Massy Stores,Arima,Mobile Payment
39,1027,2024-03-25,Health,770.37,St. Clair Medical,Arima,Bank Transfer
40,1100,2024-08-04,Fuel,1399.25,Unipet,Tobago,Mobile Payment
41,1019,2024-04-21,Utilities,1938.04,WASA,Point Fortin,Credit Card
42,1095,2024-01-26,Shopping,1176.67,Excellent Stores,Point Fortin,Debit Card
43,1007,2024-02-05,Dining,1198.17,Royal Castle,Tobago,Debit Card
44,1051,2024-10-23,Dining,1197.15,Royal Castle,Point Fortin,Credit Card
45,1053,2024-04-14,Shopping,1346.06,Courts,Chaguanas,Debit Card
46,1033,2024-12-09,Health,1298.09,St. Clair Medical,Arima,Bank Transfer
47,1096,2024-08-22,Dining,1249.9,KFC,Point Fortin,Credit Card
48,1009,2024-05-15,Utilities,282.26,Flow,Chaguanas,Credit Card
49,1031,2024-03-21,Shopping,887.61,Courts,Point Fortin,Bank Transfer
50,1078,2024-10-10,Groceries,612.77,Xtra Foods,Tobago,Credit Card
51,1017,2024-02-24,Travel,1489.99,Caribbean Airlines,San Fernando,Bank Transfer
52,1036,2024-06-24,Utilities,423.12,Flow,Tobago,Bank Transfer
53,1064,2024-01-27,Fuel,202.75,Unipet,Arima,Bank Transfer
54,1005,2024-03-07,Groceries,1281.48,Tru Valu,Chaguanas,Debit Card
55,1094,2024-12-27,Fuel,866.82,Sol Gas,Port of Spain,Credit Card
56,1009,2024-01-19,Entertainment,1672.5,TriniCinema,Point Fortin,Debit Card
57,1055,2024-06-06,Entertainment,742.01,MovieTowne,Port of Spain,Bank Transfer
58,1026,2024-02-22,Utilities,720.28,Flow,Point Fortin,Mobile Payment
59,1079,2024-03-24,Entertainment,1952.89,MovieTowne,San Fernando,Mobile Payment
60,1003,2024-06-19,Entertainment,1569.13,TriniCinema,Arima,Debit Card
61,1034,2024-02-25,Entertainment,777.43,TriniCinema,Port of Spain,Mobile Payment
62,1028,2024-06-28,Utilities,624.28,WASA,San Fernando,Debit Card
63,1003,2024-06-17,Utilities,571.63,WASA,Port of Spain,Bank Transfer
64,1044,2024-10-01,Health,675.68,Trincity Medical,Port of Spain,Credit Card
65,1033,2024-05-15,Entertainment,95.75,TriniCinema,Point Fortin,Mobile Payment
66,1044,2024-11-06,Shopping,1968.79,Courts,Port of Spain,Mobile Payment
67,1073,2024-01-23,Utilities,1423.39,WASA,Port of Spain,Debit Card
68,1046,2024-12-06,Health,1843.13,St. Clair Medical,Point Fortin,Bank Transfer
69,1084,2024-09-16,Dining,632.38,Starbucks,Arima,Bank Transfer
70,1051,2024-03-06,Travel,399.84,Hyatt,Tobago,Mobile Payment
71,1086,2024-10-18,Entertainment,615.88,TriniCinema,Point Fortin,Credit Card
72,1038,2024-08-08,Travel,1575.8,Caribbean Airlines,Point Fortin,Bank Transfer
73,1059,2024-12-11,Fuel,443.13,Unipet,Arima,Debit Card
74,1084,2024-09-20,Dining,1334.43,Starbucks,Point Fortin,Bank Transfer
75,1011,2024-06-07,Utilities,464.79,Flow,San Fernando,Debit Card
76,1003,2024-08-31,Groceries,1230.32,Massy Stores,Port of Spain,Mobile Payment
77,1053,2024-12-22,Utilities,780.28,Flow,Arima,Debit Card
78,1018,2024-08-05,Groceries,453.31,Massy Stores,Tobago,Mobile Payment
79,1006,2024-08-21,Utilities,284.01,T&TEC,Arima,Bank Transfer
